address,Hypercore USDHL/USDC Rewards,Morpho Vault USDHL Rewards,Hyperswap USDHL/WHYPE Rewards,Hyperswap USDHL/USDT0 Rewards,Hyperswap USDHL/FEUSD Rewards,Hyperswap USDHL/WHLP Rewards,Curve hwHLP/USDhl Rewards,Total Rewards
0x6ab3af472fd676fdde0a13f6736b0ac64356bb06,107.68037355864536,0.0,0.0,0.0,0.0,0.0,0.0,107.68037355864536
0x89c645ecbd07825b194e3b98300eb3497aaba406,40.22816784556947,0.0,0.0,0.0,0.0,0.0,0.0,40.22816784556947
0xefd3ab65915e35105caa462442c9ecc1346728df,37.245346020220595,0.0,0.0,0.0,0.0,0.0,0.0,37.245346020220595
0x007d76eec0ba411ce873a8819df50dd443d967a0,4.384082776174088,23.02261499881895,0.0,0.0,0.0,0.0,0.0,27.406697774993034
0x5064d3e2906317905f1d59663d5fa257c15a704a,0.0,23.475809427601007,0.0,0.0,0.0,0.0,0.0,23.475809427601007
0xcf0a36dec06e90263288100c11cf69828338e826,11.129207956687845,0.0,0.0,0.0,0.0,0.0,0.0,11.129207956687845
0xaa0e2529f9c33e3ad86346fe26fefc4bc635fc67,0.0,7.312021192391341,0.0,4.37477528496483e-09,0.0,0.023460492689126155,2.2366383346889656,9.572120024144208
0x6e93ebc8302890ff1d1befd779d1db131ef30d4d,0.0,9.013070081403066,0.0,0.0,0.0,0.0,0.0,9.013070081403066
0xaf7fd67ae6b3e25f83291d5600fbe3b776eea4d3,4.215161732621453,4.749676418837588,0.0,0.0,0.0,0.0,0.0,8.964838151459041
0xd791427e372186e90637caf1d6d6afb054beec7a,4.027294187932565,4.217979767187982,0.0,0.0,0.0,0.0,0.0,8.245273955120547
0xcbf63fb56e5deb5ebd49b24296256683e7273809,2.107064387453727,4.009583462967215,0.0,0.0,0.0,0.0,0.0,6.116647850420942
0x7fe8cfe481ec2f702692a9152e3f002f3e417ac6,5.7659055151373035,0.0,0.15249636368733394,0.0,0.0,0.0,0.0,5.918401878824637
0x6ecba7527448bb56caba8ca7768d271deaea72a9,5.846489480012393,0.0,0.0,0.0,0.0,0.0,0.05200279856067721,5.8984922785730705
0x62e485fd0e5c7d32f8ccf11aa356a1179c76e400,4.4963237417757655,0.9089857072408621,0.0,0.0,0.0,0.0,0.0,5.405309449016627
0xaa782f348daf6aeee7606cf3a15c9bdde2be9aba,5.0835266386960765,0.0,0.0,0.0,0.0,0.0,0.0,5.0835266386960765
0xa8349546fd68e7531f8426851e09574756c1e441,0.0,4.513473486432713,0.5170794753034594,0.0,0.0,0.0,0.0,5.030552961736173
0x5e5d46747100a6d10797d9432f78380aefc6eebe,1.2571243534293262,3.302030002233357,0.0,0.0,0.0,0.0,0.0,4.559154355662683
0x31cbd708b505d3a9a0dae336bc9476b694256e74,4.507086998184066,0.0,0.0,0.0,0.0,0.0,0.0,4.507086998184066
0x107332a1729ba0bcf6171117815a87b72a7e6082,4.4104837682490485,0.0,0.0,0.0,0.0,0.0,0.0,4.4104837682490485
0x4937c6b353864c7586198eb42b1c91dc917e0bd6,2.2660293541810628,1.6379303363831967,0.0,0.0,0.0,0.0,0.0,3.9039596905642595
0xc8c8a69aa79652ed59b6446f8a2e3c0db57376ce,3.5573810365595095,0.0,0.0,0.0,0.0,0.0,0.0,3.5573810365595095
0x20b20eae302c821b53018037b0f3c1ec90c0af5b,0.0,3.545976034429527,0.0,0.0,0.0,0.0,0.0,3.545976034429527
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,0.0,3.3917761623193847,0.0,0.0,0.0,0.0,0.0,3.3917761623193847
0x7cb297533d4b7a187f252c3a0d72a282802dd949,3.389883085095872,0.0,0.0,0.0,0.0,0.0,0.0,3.389883085095872
0xefb09a2a095d0372f67053888010179e7a088293,0.0,3.322812800308416,0.0,0.0,0.0,0.0,0.0,3.322812800308416
0x85378a92dfb0b2f5970ccfcd23378f8003875795,3.2574879496621416,0.05589257874477523,0.0,0.0,0.0,0.0,0.0,3.313380528406917
0xed9c58b7b8314703591feff77014e60ace2532e7,0.08285542269721648,2.14719120419435,0.0,0.0,0.0,0.0,0.6648183227311882,2.894864949622755
0x0fffab764a78d2cf36a9f6079ad0e8361fa2eb94,0.6242903854123704,2.1666475557984297,0.0,0.0,0.0,0.0,0.0,2.7909379412108
0xf2f79c84483b18f23404c2936977e1d86ce5e177,0.5648702649064886,2.183187765745262,0.0,0.0,0.0,0.0,0.0,2.748058030651751
0xcac1f1c3e4599e044dc2a9d38a9b6ef1af1bdae8,1.21734915891346,1.4474258644155606,0.0,0.0,0.0,0.0,0.0,2.6647750233290206
0x6d7823cd5c3d9dcd63e6a8021b475e0c7c94b291,0.0,2.589114157466781,0.0,0.0021475269123770037,0.0,0.0,0.0,2.591261684379158
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,0.0,0.0,2.56668818397478,0.0,0.0,0.0,0.0,2.56668818397478
0x9321d8117e73b0c79035f0e87debcfd8dbb1d75a,0.31282416132461116,2.2332712051402734,0.0,9.256336487705647e-05,0.001770068855092817,0.0,0.0,2.547957998684854
0xb65117c1e1006e7b2413fa90e96fcbe3fa83ed75,2.4993281154309503,0.0,0.0,0.0,0.0,0.0,0.0,2.4993281154309503
0xcb15941180ed7cff8b3547117eca6b78cbdeaf9c,2.48201248748409,0.0,0.0,0.000697495037817346,0.0,0.0,0.0,2.482709982521907
0x0ee5ac28683dc1e18ed730ff50c728272e38d7a9,0.08150131568442033,2.399783080121349,0.0,0.0,0.0,0.0,0.0,2.481284395805769
0x407afe1e87bf741293d47e562b107a633e678562,0.0,2.4746141575769234,0.0,0.0,0.0,0.0,0.0,2.4746141575769234
0x22d8f72787974e0f897f966b201ada0fc15dc0b6,0.024112611258085382,2.4266520415816784,0.0,0.0,0.0,0.0,0.0,2.4507646528397635
0xb03e09eac397623b4803ed50b447a1c6add4c88d,0.0,0.0,2.4074701002205185,0.0,0.0,0.0,0.0,2.4074701002205185
0x7c6db5dcfab3be735ac65e019b1ffb2bda214ff9,2.3333471403713166,0.0,0.0,0.0,0.0,0.0,0.0,2.3333471403713166
0x2c39f0041750e8b741b6918e49f7853351d98ce9,0.0,2.317400749377409,0.0,0.0,0.0,0.0,0.0,2.317400749377409
0x93d2f4f3a0445aa808c99cbd6ba05236a895379f,0.0,2.2393335904332847,0.0,0.0,0.0,0.0,0.0,2.2393335904332847
0x8fdbd50e88ab3624263ff888861f202e0dd0b9c2,0.0005362772732361235,2.0553264430378086,0.0,0.0,0.0,0.0,0.0,2.055862720311045
0xceec48581b3145a575508719f45da07dc57fa7ce,0.0,2.01150905618499,0.0,0.0,0.0,0.0,0.0,2.01150905618499
0x7be19059fa7337d8ff76aeda43c893ecdb119adb,0.23397831078765716,1.764648318228194,0.0,0.0,0.0,0.0,0.0,1.9986266290158512
0x21c107520fb69ab1eed094b67516f6c5cb3f9700,0.0,1.8519582667642362,0.0,0.0,0.0,0.0,0.0,1.8519582667642362
0xa6afc4610acc35afe818df9039baebdf386892c8,1.243604481065888,0.5965847771131703,0.0,0.0,0.0,0.0,0.0,1.8401892581790582
0x70e439584ef1ba300106b9c16543eaa1de676dc2,0.0,1.8158429219269534,0.0,0.0,0.0,0.0,0.0,1.8158429219269534
0x514c4ba193c698100ddc998f17f24bdf59c7b6fb,0.0,1.8033578843734202,0.0,0.0,0.0,0.0,0.0,1.8033578843734202
0x84d486f1410ab3c452fd6bb311efdb1f57a6c419,0.0,0.0467762399412601,1.748989339835569,4.2296563007313255e-06,0.0,0.0,0.0,1.7957698094331298
0x5783f9966dc9ccb64db2490449af2a8a1b74f1ff,0.30614507621387593,1.4760768699526567,0.0,0.0,0.0,0.0,0.0,1.7822219461665327
0x9f5362c5ad18e5a3f9c06e9cf26d5ae0c5833f3f,0.058812128161731446,1.6663696676963091,0.020232370260356812,0.0,0.0,0.0,0.0,1.7454141661183975
0xbf7e7d6a59ef41762b585d7521c7bf01577f9062,0.0,1.7192572359274443,0.0,0.0,0.0,0.0,0.0,1.7192572359274443
0x308fd47d492cf32d0f504c2a3e82bc25583b455b,0.0,1.716305845385252,0.0,0.0,0.0,0.0,0.0,1.716305845385252
0x8c8d16b8005eaed1f27e04e5e6df154b96fe5f83,0.27359367841908727,1.3840066056841756,0.0062048088564801585,0.0,0.0,0.0,0.0,1.663805092959743
0x685feceec46dd4e5c9b5b726f5d7550fd0eda526,0.5322933125341094,0.9944894757928904,0.006753028337865103,0.0,0.0074645802667607465,0.0,0.0,1.5410003969316257
0xc3eed391e92ac9d810cb43cc4c1124e99ccaf688,0.003211422388528074,1.4936977047642575,0.0,0.0,0.0,0.0,0.0,1.4969091271527855
0x5f31df82d68bc9705eeb0febf3fe3b6359ba586d,0.0,1.4847065431548094,0.0,0.0,0.0,0.0,0.0,1.4847065431548094
0xb83cee9e0669ad5cecd6100cc94f5341c2a13b98,0.0,1.455047077430761,0.0,0.0,0.0,0.0,0.0,1.455047077430761
0x2e32935bfd5b2718f99bc8fdf8b37c16811f7d97,1.4364967896959033,0.0,0.0,0.0,0.0,0.0,0.0,1.4364967896959033
0xabbc6aaf0f99a05e2e00e0426b5628b404a5e3b3,0.0,1.4216743880990892,0.0,0.0,0.0,0.0,0.0,1.4216743880990892
0x18ef394affe7accf3553891e8eb0b8cc303d090d,0.1726099662536622,1.2305899801521096,0.0,0.0,0.0,0.0,0.0,1.4031999464057718
0x99460c6b44fd9d93528b3b6e3365793acb40bb46,0.17697384523210005,1.2228485603526473,0.0,0.0,0.0,0.0,0.0,1.3998224055847475
0xfbb47621086901487c7f3bec6f23205738d59e27,1.375632705854465,0.0,0.0,0.0,0.0,0.0,0.0,1.375632705854465
0xba58eb3a9a89e78370aba6d8a19640525acc6a02,0.0006037762777744956,0.0,0.0,0.0,1.3574010852023803,0.0,0.0,1.3580048614801548
0x93715ac02e3e7adcc95fdbbfed645965969782e4,0.0,1.3294357523446119,0.0,0.0,0.0,0.0,0.0,1.3294357523446119
0x13c50dcdee4bbcba71baf578b345cdd35c7928be,0.006387287202247881,0.0,0.0,0.0,0.0,0.0,1.2951886850151635,1.3015759722174114
0x563bf0731cf71ad7cea05b9c48a802d8c53e7dc4,0.2393619453744437,1.0368100592180867,0.0,0.0,0.0,0.0,0.0,1.2761720045925304
