address,Hypercore USDHL/USDC Rewards,Morpho Vault USDHL Rewards,Hyperswap USDHL/WHYPE Rewards,Hyperswap USDHL/USDT0 Rewards,Hyperswap USDHL/FEUSD Rewards,Hyperswap USDHL/WHLP Rewards,Kittenswap USDHL/WHYPE Rewards,Kittenswap USDHL/USDT0 Rewards,Kittenswap USDHL/WHLP Rewards,Total Rewards
0xefd3ab65915e35105caa462442c9ecc1346728df,161.65372072779724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.65372072779724
0x6ab3af472fd676fdde0a13f6736b0ac64356bb06,38.13548234816986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.13548234816986
0x5064d3e2906317905f1d59663d5fa257c15a704a,2.2288176449692774,32.673726234959254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.90254387992853
0x007d76eec0ba411ce873a8819df50dd443d967a0,2.82556965816478,26.872092945128408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.69766260329319
0xcf0a36dec06e90263288100c11cf69828338e826,11.852854138535633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.852854138535633
0xb65117c1e1006e7b2413fa90e96fcbe3fa83ed75,11.384697213224413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.384697213224413
0x6e93ebc8302890ff1d1befd779d1db131ef30d4d,0.0,11.153695289105778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.153695289105778
0x6d910bea79aaf318e7170c6fb8318d9c466b2164,9.448620175107616,0.4549925317356312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.903612706843246
0xd791427e372186e90637caf1d6d6afb054beec7a,1.340555490787542,7.168840977224772,0.0,0.0,0.0,0.0,0.29382847751935004,0.0,0.0,8.803224945531664
0x6ecba7527448bb56caba8ca7768d271deaea72a9,8.456199917596884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.456199917596884
0x89c645ecbd07825b194e3b98300eb3497aaba406,7.097456233402735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.097456233402735
0x7cb297533d4b7a187f252c3a0d72a282802dd949,6.975465515614533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.975465515614533
0xa7da476783090e6bcad1643ac5a0f31ddb84204b,1.190399332195592,5.725520570426183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.915919902621775
0x06ad28bf9a156b8f84e47f4bbbb7ad0a3b163db7,1.7869769966434939,4.8213411604679495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6083181571114435
0x4937c6b353864c7586198eb42b1c91dc917e0bd6,0.9979516360561931,5.138322735061402,0.0,0.03222119308411843,0.37185943072493544,0.0,0.0,0.0,0.0,6.540354994926648
0x20b20eae302c821b53018037b0f3c1ec90c0af5b,1.7018096375307192,4.375313843896649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.077123481427368
