address,Hypercore USDHL/USDC Rewards,Morpho Vault USDHL Rewards,Hyperswap USDHL/WHYPE Rewards,Hyperswap USDHL/FEUSD Rewards,Curve hwHLP/USDhl Rewards,Hyperlend USDHL Rewards,PrjX USDHL/USDT0 Rewards,Total Rewards
0x6ab3af472fd676fdde0a13f6736b0ac64356bb06,69.75872326960547,0.0,0.0,0.0,0.0,0.0,0.0,69.75872326960547
0xefd3ab65915e35105caa462442c9ecc1346728df,65.27091926072407,0.0,0.0,0.0,0.0,0.0,5.807589106147149e-06,65.27092506831318
0x5064d3e2906317905f1d59663d5fa257c15a704a,0.0,10.163991188469598,0.0,0.0,0.0,7.066190668374601,0.0,17.230181856844197
0x89c645ecbd07825b194e3b98300eb3497aaba406,16.653164504212615,0.0,0.0,0.0,0.0,0.0,0.0,16.653164504212615
0xaa0e2529f9c33e3ad86346fe26fefc4bc635fc67,0.9411813911670112,11.404202741714975,0.0,0.0,0.7486911942904553,0.0,0.0,13.094075327172442
0x6e93ebc8302890ff1d1befd779d1db131ef30d4d,0.0,10.121497836757463,0.0,0.0,0.0,0.0,0.0,10.121497836757463
0x007d76eec0ba411ce873a8819df50dd443d967a0,0.0,8.915384570619427,0.0,0.0,0.0,0.0,0.0,8.915384570619427
0xcf0a36dec06e90263288100c11cf69828338e826,8.652576829010272,0.0,0.0,0.0,0.0,0.0,0.0,8.652576829010272
0xfbb47621086901487c7f3bec6f23205738d59e27,7.167216708377518,0.0,0.0,0.0,0.0,0.0,0.0,7.167216708377518
0x308fd47d492cf32d0f504c2a3e82bc25583b455b,0.00043547400167865514,7.098346970959064,0.0,0.0,0.0,0.0,0.0,7.098782444960742
0xc8c8a69aa79652ed59b6446f8a2e3c0db57376ce,5.251847098367093,0.0,0.0,0.0,0.0,0.0,0.0,5.251847098367093
0x8fdbd50e88ab3624263ff888861f202e0dd0b9c2,3.07768631311765,1.9673964829067092,0.0,0.0,0.0,0.0,0.0,5.045082796024359
0xc8f969ef6b51a428859f3a606e6b103dc1fb92e9,5.030004503722007,0.0,0.0,0.0,0.0,0.0,0.0,5.030004503722007
0x0ee5ac28683dc1e18ed730ff50c728272e38d7a9,0.8780811336973303,4.144069618843029,0.0,0.0,0.0,0.0,0.0,5.02215075254036
0x7cf9f878942489b7a1725d628a9e59fb1b38ab27,0.879816763025621,4.127604443373303,0.0,0.0,0.0,0.0,0.0,5.0074212063989245
0x20b20eae302c821b53018037b0f3c1ec90c0af5b,0.8515851352131644,3.982060323236206,0.0,0.0,0.0,0.0,0.0,4.833645458449371
0x67f4250e71e03f5d0b569bccf6cae4f645dc6a77,1.2041659938573455,0.00011408793766488403,0.0,0.0,0.0,3.4675231736530003,0.0,4.671803255448011
0xefb09a2a095d0372f67053888010179e7a088293,0.0,3.7314524647595664,0.0,0.0,0.0,0.0,0.0,3.7314524647595664
0x29f95aecc3d5ad0c8698dd6dccad71cacb087d2c,0.0,2.033497382454692,0.0,0.0,0.0,0.0,1.3681393937631765,3.4016367762178685
0x362b086c7551ff2c16868fd77ac5ac717fb1a80f,2.279296186434063,0.879291658264126,0.0,0.0,0.0,0.0,0.0,3.158587844698189
0x420ab45e0bd8863569a5efbb9c05d91f40624641,0.3295303783219319,0.0,0.0,0.0,0.0,2.7916622269928,0.0,3.1211926053147323
