address,Hypercore USDHL/USDC Rewards,Morpho Vault USDHL Rewards,Hyperswap USDHL/WHYPE Rewards,Hyperswap USDHL/USDT0 Rewards,Hyperswap USDHL/FEUSD Rewards,Hyperswap USDHL/WHLP Rewards,Curve hwHLP/USDhl Rewards,Hyperlend USDHL Rewards,Total Rewards
0x89c645ecbd07825b194e3b98300eb3497aaba406,53.429264242689676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.429264242689676
0x6ab3af472fd676fdde0a13f6736b0ac64356bb06,51.63281734689745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.63281734689745
0xefd3ab65915e35105caa462442c9ecc1346728df,42.12234817714051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.12234817714051
0x5064d3e2906317905f1d59663d5fa257c15a704a,0.0,10.098463596881473,0.0,0.0,0.0,0.0,0.0,6.430298739815999,16.528762336697472
0xaa0e2529f9c33e3ad86346fe26fefc4bc635fc67,0.0,11.330679464707902,0.0,0.0,0.0,0.0,1.7730838629743857,0.0,13.103763327682287
0x007d76eec0ba411ce873a8819df50dd443d967a0,2.111098628381579,8.857906787712906,0.0,0.0,0.0,0.0,0.0,0.0,10.969005416094486
0x6e93ebc8302890ff1d1befd779d1db131ef30d4d,0.0,10.056244201230943,0.0,0.0,0.0,0.0,0.0,0.0,10.056244201230943
0xcf0a36dec06e90263288100c11cf69828338e826,9.674060680208555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.674060680208555
0x308fd47d492cf32d0f504c2a3e82bc25583b455b,0.0,7.052583690310859,0.0,0.0,0.0,0.0,0.0,0.8429027825679999,7.89548647287886
0x8fdbd50e88ab3624263ff888861f202e0dd0b9c2,5.75904606428484,1.9547126118925278,0.0,0.0,0.0,0.0,0.0,0.0,7.713758676177368
0xc8c8a69aa79652ed59b6446f8a2e3c0db57376ce,6.963423786410237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.963423786410237
0x0ee5ac28683dc1e18ed730ff50c728272e38d7a9,0.5889498047628399,4.117352663223827,0.0,0.0,0.0,0.0,0.0,0.0,4.706302467986667
0xaf7fd67ae6b3e25f83291d5600fbe3b776eea4d3,1.9965343320941327,0.0,0.0,0.0,0.0,0.0,0.0,2.106600578656,4.103134910750132
0x7cf9f878942489b7a1725d628a9e59fb1b38ab27,0.0,4.100993639291779,0.0,0.0,0.0,0.0,0.0,0.0,4.100993639291779
0x29f95aecc3d5ad0c8698dd6dccad71cacb087d2c,1.9504345473493867,2.020387356727379,0.0,0.0,0.0,0.0,0.0,0.0,3.970821904076766
0x20b20eae302c821b53018037b0f3c1ec90c0af5b,0.0,3.956387846971536,0.0,0.0,0.0,0.0,0.0,0.0,3.956387846971536
0xefb09a2a095d0372f67053888010179e7a088293,0.0,3.707395665751451,0.0,0.0,0.0,0.0,0.0,0.0,3.707395665751451
0x5783f9966dc9ccb64db2490449af2a8a1b74f1ff,0.33551240903341567,3.0223426017385697,0.0,0.0,0.0,0.0,0.0,0.0,3.3578550107719853
0xcb15941180ed7cff8b3547117eca6b78cbdeaf9c,3.0876413915438787,0.0,0.0,0.0004064569718471768,0.0,0.0,0.0,0.0,3.088047848515726
0xed9c58b7b8314703591feff77014e60ace2532e7,0.0,2.4451555954794926,0.0,0.0,0.0,0.0,0.5270314031384479,0.0,2.9721869986179406
0x6d7823cd5c3d9dcd63e6a8021b475e0c7c94b291,2.747750616645342,0.06633464496897556,0.0,0.0,0.0,0.0,0.0,0.0,2.8140852616143173
